,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
29,55.72624135017395,0.5544656031882336,0.065545654296875,0.005677499153646894,0.25,1e-05,"{'learning_rate': 0.25, 'reg_lambda': 1e-05}",0.956140350877193,0.9385964912280702,0.9380530973451328,0.9292035398230089,0.9292035398230089,0.9382394038192828,0.009837680655604213,2
30,55.48337435722351,0.41981462683177334,0.06590085029602051,0.0050462845132492485,0.25,0.0001,"{'learning_rate': 0.25, 'reg_lambda': 0.0001}",0.956140350877193,0.9385964912280702,0.9380530973451328,0.9292035398230089,0.9292035398230089,0.9382394038192828,0.009837680655604213,2
31,55.39777507781982,0.8424814886450981,0.0655932903289795,0.009751292656998057,0.25,0.001,"{'learning_rate': 0.25, 'reg_lambda': 0.001}",0.956140350877193,0.9385964912280702,0.9203539823008849,0.9380530973451328,0.9292035398230089,0.936469492314858,0.011886785389434594,6
32,55.96788468360901,0.6290356052506002,0.06116023063659668,0.001820252997883442,0.25,0.01,"{'learning_rate': 0.25, 'reg_lambda': 0.01}",0.956140350877193,0.9385964912280702,0.9380530973451328,0.9203539823008849,0.9203539823008849,0.9346995808104331,0.01339948505131118,11
33,55.66837916374207,0.18030502028216103,0.06821131706237793,0.008454988826405751,0.25,0.1,"{'learning_rate': 0.25, 'reg_lambda': 0.1}",0.956140350877193,0.9385964912280702,0.9380530973451328,0.911504424778761,0.9292035398230089,0.9346995808104331,0.014521434742313297,11
34,55.776037788391115,0.88731037868552,0.06209745407104492,0.004360502667689115,0.25,1.0,"{'learning_rate': 0.25, 'reg_lambda': 1.0}",0.956140350877193,0.9385964912280702,0.9292035398230089,0.9292035398230089,0.9203539823008849,0.9346995808104331,0.012174577294730187,11
35,54.58461937904358,0.9966979319180618,0.06490416526794433,0.011287746591049887,0.3,0.0,"{'learning_rate': 0.3, 'reg_lambda': 0.0}",0.9649122807017544,0.9298245614035088,0.9292035398230089,0.9203539823008849,0.911504424778761,0.9311597578015837,0.018154554473945334,25
36,54.73897762298584,1.0968157015597453,0.06580920219421386,0.008142019402227045,0.3,1e-05,"{'learning_rate': 0.3, 'reg_lambda': 1e-05}",0.9649122807017544,0.9385964912280702,0.9292035398230089,0.9203539823008849,0.911504424778761,0.9329141437664958,0.01836339916683743,22
37,54.79033346176148,1.0151546697913783,0.06788053512573242,0.004164119276665389,0.3,0.0001,"{'learning_rate': 0.3, 'reg_lambda': 0.0001}",0.9649122807017544,0.9385964912280702,0.9292035398230089,0.9203539823008849,0.911504424778761,0.9329141437664958,0.01836339916683743,22
38,54.592698860168454,0.8416551080332846,0.06826219558715821,0.009803191177302722,0.3,0.001,"{'learning_rate': 0.3, 'reg_lambda': 0.001}",0.9649122807017544,0.9298245614035088,0.9292035398230089,0.911504424778761,0.9203539823008849,0.9311597578015836,0.018154554473945334,27
